date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-10-29,24082.0,9320.0,2334,46220.0,462713.0,118381775,1018566,2403.0,8861113,88728,3552166.0,145508208,1363817
2020-10-30,24230.0,9549.0,2401,46856.0,465114.0,119364020,982245,2477.0,8958376,97263,3576201.0,146903570,1395362
2020-10-31,24375.0,9613.0,2082,47486.0,467196.0,120412859,1048839,2502.0,9048989,90613,3610296.0,148330649,1427079
2020-11-01,24457.0,9665.0,1166,47615.0,468362.0,121201409,788550,2553.0,9190336,141347,3631622.0,149508045,1177396
2020-11-02,24560.0,9970.0,1446,48773.0,469808.0,122224994,1023585,2637.0,9273431,83095,3672742.0,150798717,1290672
2020-11-03,24796.0,10530.0,3115,50512.0,472923.0,123124388,899394,2733.0,9363295,89864,3702925.0,152020353,1221636
2020-11-04,25041.0,10892.0,3114,52166.0,476037.0,124016773,892385,2832.0,9466848,103553,3741442.0,153300229,1279876
2020-11-05,25276.0,11046.0,2541,53465.0,478578.0,125214673,1197900,2877.0,9584904,118056,3779523.0,154912515,1612286
2020-11-06,25498.0,11213.0,3143,54949.0,481721.0,126374629,1159956,2850.0,9712396,127492,3808730.0,156532916,1620401
2020-11-07,25721.0,11215.0,2297,56037.0,484018.0,127368658,994029,2947.0,9843212,130816,3849345.0,157982505,1449589
2020-11-08,25819.0,11223.0,1467,56942.0,485485.0,128242429,873771,2977.0,9954711,111499,3879255.0,159202465,1219960
2020-11-09,26087.0,11638.0,2261,59394.0,487746.0,129384538,1142109,3110.0,10072209,117498,3926618.0,160646813,1444348
2020-11-10,26335.0,12071.0,4033,62138.0,491779.0,130390741,1006203,3201.0,10205183,132974,3959700.0,161992422,1345609
2020-11-11,26584.0,12625.0,3275,65557.0,495054.0,131414999,1024258,3367.0,10352081,146898,3995023.0,163456304,1463882
2020-11-12,26803.0,12911.0,3551,67233.0,498605.0,132456517,1041518,3622.0,10506256,154175,4049143.0,165027063,1570759
2020-11-13,26997.0,13279.0,3686,68599.0,502291.0,133667929,1211412,3769.0,10680715,174459,4093148.0,166734205,1707142
2020-11-14,27172.0,13491.0,3424,69588.0,505715.0,134857389,1189460,3945.0,10846536,165821,4146419.0,168440293,1706088
2020-11-15,27269.0,13849.0,1868,70202.0,507583.0,135939477,1082088,3939.0,10992366,145830,4183378.0,169993739,1553446
2020-11-16,27437.0,14494.0,3033,73377.0,510616.0,137074240,1134763,4166.0,11141894,149528,4242683.0,171523832,1530093
2020-11-17,27681.0,15018.0,3812,77079.0,514428.0,138221744,1147504,4379.0,11300693,158799,4292094.0,173128508,1604676
2020-11-18,27989.0,15558.0,4384,79517.0,518812.0,139331380,1109636,4701.0,11466860,166167,4348089.0,174748548,1620040
2020-11-19,28216.0,15763.0,4420,80682.0,523232.0,140601218,1269838,4859.0,11651532,184672,4410709.0,176598524,1849976
2020-11-20,28472.0,16138.0,3891,82279.0,527123.0,141979248,1378030,5055.0,11846342,194810,4457930.0,178545855,1947331
2020-11-21,28693.0,16264.0,3340,83346.0,530463.0,143409545,1430297,5103.0,12028201,181859,4529788.0,180594530,2048675
2020-11-22,28828.0,16411.0,2291,83882.0,532754.0,144656088,1246543,5233.0,12180097,151896,4526635.0,182347593,1753063
2020-11-23,28990.0,17080.0,2985,85979.0,535739.0,145926485,1270397,5458.0,12331990,151893,4633600.0,184042002,1694409
2020-11-24,29245.0,17314.0,4591,88174.0,540330.0,147311323,1384838,5630.0,12501254,169264,4696996.0,185926323,1884321
2020-11-25,29540.0,17740.0,4568,90041.0,544898.0,148522805,1211482,5990.0,12688192,186938,4835956.0,187753671,1827348
2020-11-26,29673.0,18019.0,2247,90564.0,547145.0,149421572,898767,5986.0,12816631,128439,4871312.0,189022383,1268712
2020-11-27,29858.0,18061.0,3499,89950.0,550644.0,150826280,1404708,6030.0,13010875,194244,4947446.0,191054688,2032305
2020-11-28,30109.0,18249.0,3404,91762.0,554048.0,152036674,1210394,6148.0,13165790,154915,5024447.0,192727998,1673310
2020-11-29,30274.0,18437.0,2429,93357.0,556477.0,152906226,869552,6245.0,13301880,136090,5065148.0,194013518,1285520
2020-11-30,30469.0,18801.0,3394,96149.0,559871.0,154112956,1206730,6520.0,13450355,148475,5146643.0,195620788,1607270
2020-12-01,30749.0,19295.0,5222,98777.0,565093.0,156081261,1968305,6649.0,13629572,179217,5226581.0,197094388,1473600
2020-12-02,31038.0,19680.0,5028,100322.0,570121.0,157122572,1041311,6855.0,13828237,198665,5322128.0,198653153,1558765
2020-12-03,31276.0,19723.0,5331,100755.0,575452.0,158392512,1269940,6867.0,14041601,213364,5404018.0,200549822,1896669
2020-12-04,31608.0,19858.0,4652,101276.0,580104.0,159673228,1280716,6999.0,14269576,227975,5470389.0,202453457,1903635
2020-12-05,31831.0,19947.0,3457,101192.0,583561.0,161181102,1507874,7006.0,14484969,215393,5576152.0,204665435,2211978
2020-12-06,31946.0,20145.0,2311,101501.0,585872.0,162296168,1115066,7095.0,14664588,179619,5624609.0,206267533,1602098
2020-12-07,32120.0,20098.0,3614,102148.0,589486.0,163627989,1331821,7073.0,14845407,180819,5714557.0,207986484,1718951
2020-12-08,32406.0,20483.0,4309,104623.0,593795.0,164864861,1236872,7245.0,15066294,220887,5788509.0,209664520,1678036
2020-12-09,32720.0,20906.0,5424,106705.0,599219.0,166130278,1265417,7624.0,15279750,213456,5891885.0,211477834,1813314
2020-12-10,32919.0,21023.0,4335,107276.0,603554.0,167405405,1275127,7442.0,15498260,218510,5985047.0,213370739,1892905
2020-12-11,33237.0,21010.0,5444,108108.0,608998.0,168750664,1345259,7489.0,15733070,234810,6135314.0,215363699,1992960
2020-12-12,33419.0,21198.0,3695,108461.0,612693.0,169914641,1163977,7515.0,15958266,225196,6246808.0,217177127,1813428
2020-12-13,33494.0,21230.0,2314,109298.0,615007.0,171128835,1214194,7535.0,16146020,187754,6298331.0,218941321,1764194
2020-12-14,33693.0,21456.0,3569,110549.0,618576.0,172819026,1690191,7706.0,16339404,193384,6399531.0,221100799,2159478
