date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-04-17,2052.0,14890.0,3366,58886.0,89454.0,2975731,127110,6096.0,704069,31982,53562.0,3795867,167162
2020-04-18,2096.0,14769.0,3449,57788.0,92903.0,3099965,124234,5729.0,731895,27826,62923.0,3960444,164577
2020-04-19,2145.0,14385.0,2162,56497.0,95065.0,3226945,126980,5603.0,759174,27279,67227.0,4111693,151249
2020-04-20,2193.0,14463.0,2311,56734.0,97376.0,3342072,115127,5567.0,785279,26105,69507.0,4255636,143943
2020-04-21,2315.0,14941.0,2733,59773.0,100109.0,3469627,127555,5514.0,811492,26213,72870.0,4422768,167132
2020-04-22,2370.0,15013.0,3097,59212.0,103206.0,3765721,296094,5474.0,840628,29136,92996.0,4766290,343522
2020-04-23,2428.0,14744.0,2827,59216.0,106033.0,3937183,171462,5464.0,872598,31970,96947.0,4978584,212294
2020-04-24,2468.0,14605.0,2372,57324.0,108405.0,4138743,201560,5187.0,906872,34274,103423.0,5219880,241296
2020-04-25,2516.0,14415.0,2305,57343.0,110710.0,4369714,230971,5266.0,942523,35651,112603.0,5491542,271662
2020-04-26,2571.0,14104.0,2209,56149.0,112919.0,4543613,173899,5121.0,969581,27058,116565.0,5692170,200628
2020-04-27,3720.0,13812.0,2243,56183.0,115162.0,4704638,161025,4867.0,992176,22595,121464.0,5883043,190873
2020-04-28,3798.0,13562.0,2006,56034.0,117168.0,4895781,191143,4760.0,1017548,25372,139080.0,6105951,222908
2020-04-29,4093.0,13535.0,2961,55987.0,120129.0,5111824,216043,4796.0,1043774,26226,147234.0,6363206,257255
2020-04-30,4192.0,13255.0,2376,54921.0,122505.0,5319789,207965,4712.0,1073745,29971,154587.0,6636253,273047
